Date,Category,Year,Month,Day,IsHoliday,PredictedOrderQuantity
2024-03-16,Cabinet,2024,3,16,1,21.18711889069265
2024-03-16,Bed,2024,3,16,1,23.035861725899316
2024-03-16,Desk,2024,3,16,1,21.934906023681254
2024-03-17,Table,2024,3,17,1,23.261228851024466
2024-03-17,Chair,2024,3,17,1,29.13697321428572
2024-03-17,Sofa,2024,3,17,1,25.648047591991336
2024-03-17,Cabinet,2024,3,17,1,21.17826889069265
2024-03-17,Bed,2024,3,17,1,23.004955924463907
2024-03-17,Desk,2024,3,17,1,21.916919022630836
2024-03-18,Table,2024,3,18,0,23.739213879241856
2024-03-18,Chair,2024,3,18,0,24.63411261140821
2024-03-18,Sofa,2024,3,18,0,25.376649704217353
2024-03-18,Cabinet,2024,3,18,0,21.167608322993434
2024-03-18,Bed,2024,3,18,0,22.032364127747034
2024-03-18,Desk,2024,3,18,0,22.498589164372515
2024-03-19,Table,2024,3,19,0,23.767197629241863
2024-03-19,Chair,2024,3,19,0,24.67992213521773
2024-03-19,Sofa,2024,3,19,0,25.18079130822738
2024-03-19,Cabinet,2024,3,19,0,21.162291847736665
2024-03-19,Bed,2024,3,19,0,22.055213698825465
2024-03-19,Desk,2024,3,19,0,22.524353967277943
2024-03-20,Table,2024,3,20,0,23.78588077318126
2024-03-20,Chair,2024,3,20,0,25.19397769077329
2024-03-20,Sofa,2024,3,20,0,25.268952022513094
2024-03-20,Cabinet,2024,3,20,0,21.15600924122037
2024-03-20,Bed,2024,3,20,0,22.13694483346995
2024-03-20,Desk,2024,3,20,0,22.592301900424744
2024-03-21,Table,2024,3,21,0,23.61876806381333
2024-03-21,Chair,2024,3,21,0,25.342928412274013
2024-03-21,Sofa,2024,3,21,0,24.76028459827066
2024-03-21,Cabinet,2024,3,21,0,21.15694071690049
2024-03-21,Bed,2024,3,21,0,22.18848251023763
2024-03-21,Desk,2024,3,21,0,22.576263896761738
2024-03-22,Table,2024,3,22,0,23.404793782767587
